id,Name,trN,trN,Entity ID,Number of positions,Track length,Start time,End time,Duration (second),Duration (minutes),Duration (hours),Hour (start),Hour (end)
33706,33706,1054,3246,86945,25,14.608709364987877,04/04/2007 09:46:14,04/04/2007 10:00:01,827,13.783334,0.22972223,9,10
33791,33791,1055,3255,87490,262,78.84157102464977,04/04/2007 05:59:40,04/04/2007 09:50:39,13859,230.98334,3.8497224,5,9
33890,33890,1056,3259,87665,4,4.531255773092441,04/04/2007 06:29:38,04/04/2007 06:45:15,937,15.616667,0.26027778,6,6
33983,33983,1057,3264,87805,6,4.53514427157036,04/04/2007 06:35:27,04/04/2007 06:52:56,1049,17.483334,0.2913889,6,6
34072,34072,1058,3273,87908,8,5.42621178183235,04/04/2007 05:44:26,04/04/2007 06:19:38,2112,35.2,0.5866667,5,6
34073,34073,1059,3274,87908,5,5.348311185133314,04/04/2007 10:29:10,04/04/2007 10:55:05,1555,25.916666,0.43194443,10,10
34105,34105,1060,3278,87930,21,18.115087095704155,04/04/2007 09:06:40,04/04/2007 09:19:35,775,12.916667,0.21527778,9,9
34145,34145,1061,3283,88000,7,9.911294668877396,04/04/2007 05:34:20,04/04/2007 06:07:08,1968,32.8,0.5466667,5,6
34239,34239,1062,3289,88129,52,15.304718847744223,04/04/2007 07:20:58,04/04/2007 07:48:21,1643,27.383333,0.4563889,7,7
34269,34269,1063,3293,88136,6,8.716845161150605,04/04/2007 07:48:04,04/04/2007 08:29:27,2483,41.383335,0.68972224,7,8
34292,34292,1064,3298,88142,14,10.263247991960688,04/04/2007 05:56:00,04/04/2007 06:16:11,1211,20.183332,0.3363889,5,6
34381,34381,1065,3301,88193,8,9.92939226552496,04/04/2007 05:42:57,04/04/2007 06:32:03,2946,49.1,0.8183333,5,6
34478,34478,1066,3307,88376,9,8.172469653422796,04/04/2007 08:50:59,04/04/2007 08:56:11,312,5.2,0.086666666,8,8
34499,34499,1067,3312,88391,74,42.718147416862784,04/04/2007 07:16:17,04/04/2007 08:11:46,3329,55.483334,0.92472225,7,8
34635,34635,1068,3322,88691,8,9.979246309002901,04/04/2007 07:05:48,04/04/2007 07:29:15,1407,23.45,0.39083335,7,7
34668,34668,1069,3324,88706,11,10.729481910032463,04/04/2007 09:37:04,04/04/2007 10:19:14,2530,42.166668,0.7027778,9,10
34692,34692,1070,3327,88725,24,12.035405858265957,04/04/2007 05:34:28,04/04/2007 06:29:51,3323,55.383335,0.9230556,5,6
34695,34695,1071,3328,88801,11,8.328430185841642,04/04/2007 09:21:01,04/04/2007 10:25:54,3893,64.88333,1.0813888,9,10
34772,34772,1072,3332,88859,5,4.958045980700695,04/04/2007 07:23:28,04/04/2007 07:59:29,2161,36.016666,0.6002778,7,7
34834,34834,1073,3336,88977,16,25.474655979275617,04/04/2007 06:38:46,04/04/2007 08:04:08,5122,85.36667,1.4227778,6,8
34863,34863,1074,3339,89020,8,9.75896149098052,04/04/2007 08:10:39,04/04/2007 09:24:19,4420,73.666664,1.2277777,8,9
34900,34900,1075,3343,89071,10,7.780870902634724,04/04/2007 06:28:31,04/04/2007 06:42:59,868,14.466666,0.2411111,6,6
35029,35029,1076,3355,89226,14,17.721753413616216,04/04/2007 05:33:14,04/04/2007 06:09:48,2194,36.566666,0.60944444,5,6
35044,35044,1077,3357,89237,11,4.598139346739287,04/04/2007 06:39:35,04/04/2007 06:53:06,811,13.516666,0.22527777,6,6
35087,35087,1078,3361,89436,23,25.77267719350701,04/04/2007 08:26:43,04/04/2007 10:07:05,6022,100.36667,1.6727778,8,10
35100,35100,1079,3362,89449,25,12.612605077694889,04/04/2007 05:14:06,04/04/2007 05:49:10,2104,35.066666,0.5844444,5,5
35120,35120,1080,3364,89546,80,31.705486359843547,04/04/2007 06:42:36,04/04/2007 08:28:30,6354,105.9,1.765,6,8
35133,35133,1081,3366,89614,18,6.117727186976485,04/04/2007 09:26:54,04/04/2007 10:02:26,2132,35.533333,0.5922222,9,10
35166,35166,1082,3367,89654,4,14.646806408728638,04/04/2007 08:15:53,04/04/2007 08:50:01,2048,34.133335,0.5688889,8,8
35167,35167,1083,3368,89654,7,9.412423189246786,04/04/2007 09:54:28,04/04/2007 10:22:24,1676,27.933332,0.46555555,9,10
35202,35202,1084,3372,89733,15,7.672775005052448,04/04/2007 07:19:57,04/04/2007 08:43:57,5040,84.0,1.4,7,8
35245,35245,1085,3375,89754,8,8.849064591386774,04/04/2007 07:34:05,04/04/2007 08:00:46,1601,26.683332,0.4447222,7,8
35246,35246,1086,3376,89754,15,10.303836140253324,04/04/2007 09:12:48,04/04/2007 09:21:33,525,8.75,0.14583333,9,9
35247,35247,1087,3377,89754,19,8.566051060984378,04/04/2007 09:57:20,04/04/2007 10:08:20,660,11.0,0.18333334,9,10
35289,35289,1088,3384,89791,12,11.701667922199444,04/04/2007 05:59:21,04/04/2007 06:35:25,2164,36.066666,0.6011111,5,6
35325,35325,1089,3388,89837,31,6.6845836076854,04/04/2007 06:36:27,04/04/2007 06:59:13,1366,22.766666,0.37944445,6,6
35349,35349,1090,3393,89842,50,7.511307992063694,04/04/2007 07:55:03,04/04/2007 08:20:56,1553,25.883333,0.43138888,7,8
35385,35385,1091,3398,89854,15,13.596712932889083,04/04/2007 07:48:22,04/04/2007 09:48:53,7231,120.51667,2.0086112,7,9
35406,35406,1092,3401,89868,21,20.211455884380335,04/04/2007 08:16:48,04/04/2007 09:34:57,4689,78.15,1.3025,8,9
35424,35424,1093,3403,89876,4,5.373478030993145,04/04/2007 05:22:43,04/04/2007 05:34:12,689,11.483334,0.19138889,5,5
35438,35438,1094,3405,89882,4,3.4552417667962096,04/04/2007 10:29:20,04/04/2007 10:35:10,350,5.8333335,0.097222224,10,10
35484,35484,1095,3412,89940,37,11.33585852721273,04/04/2007 06:56:26,04/04/2007 07:30:32,2046,34.1,0.5683333,6,7
35485,35485,1096,3413,89940,5,7.095165265668497,04/04/2007 09:43:51,04/04/2007 10:07:43,1432,23.866667,0.39777777,9,10
35585,35585,1097,3419,90252,59,31.87059344098581,04/04/2007 09:38:00,04/04/2007 10:09:45,1905,31.75,0.52916664,9,10
35596,35596,1098,3420,90322,40,21.89041919587244,04/04/2007 08:59:25,04/04/2007 09:20:32,1267,21.116667,0.35194445,8,9
35658,35658,1099,3423,90606,24,10.756813355507347,04/04/2007 07:02:34,04/04/2007 07:32:07,1773,29.55,0.49249998,7,7
35670,35670,1100,3425,90859,92,30.674393242755563,04/04/2007 07:12:03,04/04/2007 07:59:56,2873,47.883335,0.7980556,7,7
35671,35671,1101,3426,90859,5,5.542343112227119,04/04/2007 09:28:58,04/04/2007 09:48:13,1155,19.25,0.32083333,9,9
35699,35699,1102,3428,90916,8,6.499165086218425,04/04/2007 05:07:01,04/04/2007 05:28:05,1264,21.066668,0.3511111,5,5
35825,35825,1103,3434,91295,31,10.708781490225238,04/04/2007 07:09:11,04/04/2007 07:25:12,961,16.016666,0.26694444,7,7
35858,35858,1104,3436,91312,6,3.3364853379284263,04/04/2007 06:46:16,04/04/2007 06:59:57,821,13.683333,0.22805555,6,6
35886,35886,1105,3439,91314,12,10.810783397019518,04/04/2007 06:56:30,04/04/2007 08:11:10,4480,74.666664,1.2444444,6,8
35917,35917,1106,3443,91325,14,18.942916785177523,04/04/2007 05:10:16,04/04/2007 06:37:51,5255,87.583336,1.4597223,5,6
35918,35918,1107,3444,91325,12,8.802853582576288,04/04/2007 08:37:06,04/04/2007 09:37:15,3609,60.15,1.0025,8,9
36024,36024,1108,3450,91361,61,19.767047493319872,04/04/2007 08:42:14,04/04/2007 09:35:36,3202,53.366665,0.8894444,8,9
36048,36048,1109,3453,91366,12,9.802053909299705,04/04/2007 06:04:20,04/04/2007 06:28:24,1444,24.066668,0.40111113,6,6
36049,36049,1110,3454,91366,19,6.612652477299239,04/04/2007 07:00:36,04/04/2007 07:53:43,3187,53.116665,0.88527775,7,7
36078,36078,1111,3455,91379,3,3.4287988503441484,04/04/2007 07:00:09,04/04/2007 07:07:35,446,7.4333334,0.12388889,7,7
36079,36079,1112,3456,91379,27,13.631153651678215,04/04/2007 08:21:49,04/04/2007 09:10:10,2901,48.35,0.8058333,8,9
36080,36080,1113,3457,91379,11,7.594888513392311,04/04/2007 09:44:21,04/04/2007 10:37:57,3216,53.6,0.8933333,9,10
36118,36118,1114,3460,91537,59,24.742259222798573,04/04/2007 05:50:44,04/04/2007 07:26:13,5729,95.48333,1.5913888,5,7
36144,36144,1115,3462,91544,8,7.765837244222367,04/04/2007 09:39:27,04/04/2007 10:30:28,3061,51.016666,0.8502778,9,10
36159,36159,1116,3463,91549,21,13.75605419195228,04/04/2007 05:56:41,04/04/2007 06:33:06,2185,36.416668,0.60694444,5,6
36229,36229,1117,3466,91586,9,9.144915134174749,04/04/2007 07:03:17,04/04/2007 07:42:19,2342,39.033333,0.65055555,7,7
36230,36230,1118,3467,91586,37,32.44899552832312,04/04/2007 08:28:29,04/04/2007 08:54:02,1533,25.55,0.4258333,8,8
36274,36274,1119,3471,91613,9,11.104702978271426,04/04/2007 06:14:20,04/04/2007 06:46:28,1928,32.133335,0.5355556,6,6
36375,36375,1120,3476,91742,43,12.557890933088908,04/04/2007 06:36:45,04/04/2007 07:18:55,2530,42.166668,0.7027778,6,7
36393,36393,1121,3478,91754,4,6.232830227451339,04/04/2007 05:34:13,04/04/2007 05:53:41,1168,19.466667,0.32444444,5,5
36400,36400,1122,3480,91756,6,6.817840499613004,04/04/2007 06:37:08,04/04/2007 06:57:55,1247,20.783333,0.34638888,6,6
36425,36425,1123,3483,91796,5,4.069527294968051,04/04/2007 07:02:05,04/04/2007 07:36:19,2054,34.233334,0.57055557,7,7
36449,36449,1124,3485,91846,41,16.613586625965763,04/04/2007 09:05:27,04/04/2007 09:33:20,1673,27.883333,0.46472222,9,9
36586,36586,1125,3494,92140,12,6.104436701360072,04/04/2007 05:32:10,04/04/2007 06:18:10,2760,46.0,0.76666665,5,6
36587,36587,1126,3495,92140,4,3.5166131906366154,04/04/2007 10:33:55,04/04/2007 10:46:42,767,12.783334,0.21305557,10,10
36693,36693,1127,3503,92540,44,26.91196583087284,04/04/2007 06:40:10,04/04/2007 10:26:41,13591,226.51666,3.7752776,6,10
36740,36740,1128,3508,92579,7,4.7926150613002205,04/04/2007 07:07:24,04/04/2007 07:46:40,2356,39.266666,0.65444446,7,7
36769,36769,1129,3512,92585,6,3.9770168952664764,04/04/2007 05:49:29,04/04/2007 06:01:58,749,12.483334,0.20805556,5,6
36824,36824,1130,3514,92706,33,12.705044901128812,04/04/2007 07:30:14,04/04/2007 07:58:06,1672,27.866667,0.46444446,7,7
36825,36825,1131,3515,92706,22,12.146812295928004,04/04/2007 10:22:37,04/04/2007 10:42:25,1188,19.8,0.32999998,10,10
36903,36903,1132,3527,92807,4,4.04000127364424,04/04/2007 06:50:50,04/04/2007 07:04:08,798,13.3,0.22166666,6,7
36904,36904,1133,3528,92807,4,4.440205318664724,04/04/2007 10:48:05,04/04/2007 10:56:44,519,8.65,0.14416666,10,10
36934,36934,1134,3531,92815,19,22.85405628507064,04/04/2007 07:08:59,04/04/2007 08:59:17,6618,110.3,1.8383334,7,8
36935,36935,1135,3532,92815,9,15.088301764045084,04/04/2007 09:56:06,04/04/2007 10:08:07,721,12.016666,0.20027778,9,10
36989,36989,1136,3536,92840,12,4.99777140602664,04/04/2007 08:57:59,04/04/2007 09:51:43,3224,53.733334,0.89555556,8,9
37008,37008,1137,3538,92851,4,3.5582934237618193,04/04/2007 09:27:28,04/04/2007 09:40:43,795,13.25,0.22083333,9,9
37102,37102,1138,3546,93088,101,27.97642157935711,04/04/2007 06:51:45,04/04/2007 08:20:37,5332,88.86667,1.4811112,6,8
37112,37112,1139,3550,93144,8,11.455171274186181,04/04/2007 05:55:15,04/04/2007 06:14:12,1137,18.95,0.31583336,5,6
37126,37126,1140,3552,93157,88,71.1222866776493,04/04/2007 05:26:24,04/04/2007 10:34:31,18487,308.11667,5.1352777,5,10
37153,37153,1141,3553,93225,39,7.7803583996926,04/04/2007 05:39:14,04/04/2007 06:07:23,1689,28.15,0.46916667,5,6
37164,37164,1142,3556,93253,15,17.29550987837069,04/04/2007 07:43:55,04/04/2007 08:52:04,4089,68.15,1.1358334,7,8
37240,37240,1143,3564,93446,11,19.278475937395623,04/04/2007 07:07:41,04/04/2007 07:37:01,1760,29.333334,0.4888889,7,7
37280,37280,1144,3569,93483,8,10.122224359315158,04/04/2007 10:03:24,04/04/2007 10:22:03,1119,18.65,0.31083333,10,10
37299,37299,1145,3570,93490,34,22.858073419262606,04/04/2007 05:02:40,04/04/2007 08:31:51,12551,209.18333,3.486389,5,8
37410,37410,1146,3578,93564,6,5.934107396835749,04/04/2007 09:51:38,04/04/2007 10:13:56,1338,22.3,0.37166664,9,10
37436,37436,1147,3583,93579,16,7.369704680638092,04/04/2007 06:54:43,04/04/2007 07:02:47,484,8.066667,0.13444445,6,7
37548,37548,1148,3586,93613,69,21.779467015196285,04/04/2007 05:59:08,04/04/2007 06:36:56,2268,37.8,0.63,5,6
37663,37663,1149,3593,93984,12,19.18426059123597,04/04/2007 08:32:52,04/04/2007 09:11:57,2345,39.083332,0.6513889,8,9
37701,37701,1150,3596,94024,15,11.398416629147569,04/04/2007 08:50:44,04/04/2007 09:49:29,3525,58.75,0.9791667,8,9
37820,37820,1151,3602,94059,28,11.647294273503507,04/04/2007 05:21:56,04/04/2007 05:54:02,1926,32.1,0.53499997,5,5
37864,37864,1152,3604,94094,4,4.909794261002374,04/04/2007 05:58:20,04/04/2007 06:17:41,1161,19.35,0.32250002,5,6
37910,37910,1153,3607,94137,66,14.65305902958887,04/04/2007 07:17:19,04/04/2007 07:56:18,2339,38.983334,0.6497222,7,7
37954,37954,1154,3613,94163,8,11.8326323385425,04/04/2007 08:19:41,04/04/2007 09:04:35,2694,44.9,0.74833333,8,9
37984,37984,1155,3619,94195,80,33.86145719106789,04/04/2007 05:15:57,04/04/2007 06:02:08,2771,46.183334,0.7697222,5,6
37985,37985,1156,3620,94195,19,14.246935125567495,04/04/2007 08:37:21,04/04/2007 09:59:58,4957,82.61667,1.3769444,8,9
38056,38056,1157,3626,94279,8,4.055422970899215,04/04/2007 05:58:31,04/04/2007 06:26:29,1678,27.966667,0.46611112,5,6
38108,38108,1158,3628,94306,58,17.255845517845614,04/04/2007 06:02:49,04/04/2007 07:10:01,4032,67.2,1.12,6,7
38156,38156,1159,3632,94408,6,3.9186088976007545,04/04/2007 06:19:58,04/04/2007 06:33:33,815,13.583333,0.22638889,6,6
38181,38181,1160,3634,94419,14,17.0515843526688,04/04/2007 10:12:28,04/04/2007 10:42:09,1781,29.683332,0.49472222,10,10
38190,38190,1161,3638,94423,6,3.5721239638199362,04/04/2007 06:42:32,04/04/2007 06:48:05,333,5.55,0.0925,6,6
38197,38197,1162,3640,94427,10,7.865623292126174,04/04/2007 07:09:46,04/04/2007 07:57:21,2855,47.583332,0.79305553,7,7
38198,38198,1163,3641,94427,12,13.616168968785788,04/04/2007 08:34:59,04/04/2007 09:58:14,4995,83.25,1.3875,8,9
38229,38229,1164,3645,94699,81,42.59626030391645,04/04/2007 05:19:55,04/04/2007 07:56:24,9389,156.48334,2.6080556,5,7
38230,38230,1165,3646,94699,50,26.255479394728376,04/04/2007 08:49:26,04/04/2007 10:08:13,4727,78.78333,1.3130555,8,10
38238,38238,1166,3648,94703,13,7.849107022814376,04/04/2007 08:13:33,04/04/2007 08:54:01,2428,40.466667,0.67444444,8,8
38243,38243,1167,3649,94712,9,6.744711843337391,04/04/2007 09:57:48,04/04/2007 10:03:09,321,5.35,0.08916666,9,10
38265,38265,1168,3651,94777,15,12.675123422808385,04/04/2007 07:21:50,04/04/2007 07:40:56,1146,19.1,0.31833333,7,7
38275,38275,1169,3653,94808,7,6.9522246647144685,04/04/2007 06:39:47,04/04/2007 07:21:58,2531,42.183334,0.70305556,6,7
38290,38290,1170,3656,94811,6,3.657486361460071,04/04/2007 05:50:37,04/04/2007 06:10:36,1199,19.983334,0.33305556,5,6
38291,38291,1171,3657,94811,7,9.534819474240026,04/04/2007 08:56:04,04/04/2007 09:21:58,1554,25.9,0.43166667,8,9
38292,38292,1172,3658,94811,9,9.328958110328413,04/04/2007 09:52:52,04/04/2007 10:24:44,1912,31.866667,0.5311111,9,10
38353,38353,1173,3664,94859,4,5.022011576110089,04/04/2007 07:27:00,04/04/2007 07:57:16,1816,30.266666,0.5044444,7,7
38354,38354,1174,3665,94859,7,9.402531026026434,04/04/2007 09:42:22,04/04/2007 10:11:05,1723,28.716667,0.4786111,9,10
38405,38405,1175,3674,94890,7,9.71227773297578,04/04/2007 08:06:42,04/04/2007 08:48:30,2508,41.8,0.69666666,8,8
38406,38406,1176,3675,94890,6,9.011088195439578,04/04/2007 10:18:40,04/04/2007 10:49:42,1862,31.033333,0.5172222,10,10
38426,38426,1177,3679,94923,16,13.729652554491087,04/04/2007 06:22:24,04/04/2007 06:55:42,1998,33.3,0.555,6,6
38437,38437,1178,3683,94928,31,5.589788361916194,04/04/2007 05:34:57,04/04/2007 05:51:43,1006,16.766666,0.27944443,5,5
38438,38438,1179,3684,94928,4,4.68892292131014,04/04/2007 08:37:55,04/04/2007 08:48:20,625,10.416667,0.17361112,8,8
38479,38479,1180,3690,94989,16,28.286074844975232,04/04/2007 05:42:08,04/04/2007 06:31:22,2954,49.233334,0.82055557,5,6
38483,38483,1181,3692,94991,11,7.589975475028069,04/04/2007 09:41:07,04/04/2007 10:25:33,2666,44.433334,0.7405556,9,10
38505,38505,1182,3695,95000,6,3.6580539421412626,04/04/2007 05:39:11,04/04/2007 05:57:36,1105,18.416666,0.30694443,5,5
38530,38530,1183,3698,95007,5,7.454660305750403,04/04/2007 06:00:43,04/04/2007 06:25:22,1479,24.65,0.41083333,6,6
38579,38579,1184,3702,95096,5,3.000224126232156,04/04/2007 05:01:14,04/04/2007 05:34:20,1986,33.1,0.5516666,5,5
38598,38598,1185,3704,95106,10,10.878385139044058,04/04/2007 05:57:21,04/04/2007 06:47:14,2993,49.883335,0.8313889,5,6
38608,38608,1186,3705,95110,13,18.758627274147763,04/04/2007 05:29:54,04/04/2007 06:15:49,2755,45.916668,0.7652778,5,6
38626,38626,1187,3707,95183,70,20.373777907085522,04/04/2007 09:19:41,04/04/2007 09:58:14,2313,38.55,0.6425,9,9
38632,38632,1188,3708,95212,36,13.061220383431928,04/04/2007 09:41:00,04/04/2007 10:00:58,1198,19.966667,0.3327778,9,10
38712,38712,1189,3712,95386,4,3.60037125955131,04/04/2007 06:44:32,04/04/2007 07:02:59,1107,18.45,0.3075,6,7
38713,38713,1190,3713,95386,10,6.164020022014222,04/04/2007 08:43:32,04/04/2007 09:13:55,1823,30.383333,0.5063889,8,9
38736,38736,1191,3718,95414,10,13.16155025326162,04/04/2007 06:41:18,04/04/2007 07:21:23,2405,40.083332,0.66805553,6,7
38767,38767,1192,3721,95551,76,17.1679248680126,04/04/2007 07:14:22,04/04/2007 07:56:32,2530,42.166668,0.7027778,7,7
38778,38778,1193,3722,95578,4,5.430720218727606,04/04/2007 07:38:21,04/04/2007 07:58:42,1221,20.35,0.33916667,7,7
38813,38813,1194,3724,95815,8,7.771635030658873,04/04/2007 05:07:16,04/04/2007 06:06:18,3542,59.033333,0.98388886,5,6
38835,38835,1195,3726,95835,5,5.243061325054785,04/04/2007 06:19:52,04/04/2007 06:45:43,1551,25.85,0.43083334,6,6
38847,38847,1196,3728,95842,12,8.449342631403665,04/04/2007 08:40:08,04/04/2007 09:36:27,3379,56.316666,0.9386111,8,9
38921,38921,1197,3733,96119,3,3.0104291339508595,04/04/2007 06:29:05,04/04/2007 06:35:45,400,6.6666665,0.11111111,6,6
38943,38943,1198,3735,96155,8,4.433160454536039,04/04/2007 05:46:01,04/04/2007 06:41:44,3343,55.716667,0.9286111,5,6
38987,38987,1199,3738,96191,58,19.732176404753442,04/04/2007 09:13:27,04/04/2007 10:01:03,2856,47.6,0.7933333,9,10
39059,39059,1200,3746,96350,8,4.868071485349697,04/04/2007 08:36:45,04/04/2007 09:12:28,2143,35.716667,0.5952778,8,9
39074,39074,1201,3748,96351,15,13.41271873262274,04/04/2007 06:50:46,04/04/2007 07:29:25,2319,38.65,0.6441667,6,7
39178,39178,1202,3758,96752,15,13.733282703530875,04/04/2007 06:35:34,04/04/2007 08:46:31,7857,130.95,2.1825,6,8
39225,39225,1203,3762,96808,14,22.484191468996954,04/04/2007 05:02:35,04/04/2007 06:08:39,3964,66.066666,1.101111,5,6
39252,39252,1204,3765,96929,42,30.06376438184845,04/04/2007 08:25:45,04/04/2007 10:21:15,6930,115.5,1.925,8,10
39272,39272,1205,3768,96953,16,13.521427548778908,04/04/2007 05:36:41,04/04/2007 06:14:55,2294,38.233334,0.63722223,5,6
39332,39332,1206,3776,97143,6,8.642845998429463,04/04/2007 09:23:48,04/04/2007 09:31:34,466,7.766667,0.12944445,9,9
39344,39344,1207,3779,97164,6,4.9603977875928456,04/04/2007 07:29:47,04/04/2007 07:53:12,1405,23.416666,0.39027777,7,7
39345,39345,1208,3780,97164,3,3.613901394219014,04/04/2007 08:38:49,04/04/2007 08:50:41,712,11.866667,0.19777778,8,8
39364,39364,1209,3781,97264,8,4.054656657062027,04/04/2007 07:21:58,04/04/2007 07:37:02,904,15.066667,0.25111112,7,7
39415,39415,1210,3782,97298,9,5.400223763709169,04/04/2007 06:04:59,04/04/2007 06:43:09,2290,38.166668,0.63611114,6,6
39477,39477,1211,3791,97394,5,7.300513403746523,04/04/2007 06:00:18,04/04/2007 06:21:30,1272,21.2,0.35333335,6,6
39503,39503,1212,3793,97451,4,5.3479089391973105,04/04/2007 06:02:30,04/04/2007 06:13:58,688,11.466666,0.1911111,6,6
39520,39520,1213,3795,97456,5,5.848146350491426,04/04/2007 08:27:02,04/04/2007 08:52:27,1525,25.416666,0.4236111,8,8
39521,39521,1214,3796,97456,8,7.370018743951815,04/04/2007 09:42:52,04/04/2007 10:27:16,2664,44.4,0.74,9,10
39539,39539,1215,3798,97498,7,9.350868473433438,04/04/2007 05:47:23,04/04/2007 06:06:38,1155,19.25,0.32083333,5,6
39579,39579,1216,3800,97522,2,9.111708904562573,04/04/2007 05:47:13,04/04/2007 06:14:11,1618,26.966667,0.44944444,5,6
39581,39581,1217,3801,97522,4,5.245906009990279,04/04/2007 07:36:39,04/04/2007 08:22:40,2761,46.016666,0.76694447,7,8
39624,39624,1218,3804,97534,5,4.939930691945432,04/04/2007 09:38:42,04/04/2007 09:58:48,1206,20.1,0.335,9,9
39642,39642,1219,3806,97535,36,13.925247348709846,04/04/2007 07:00:30,04/04/2007 07:24:20,1430,23.833334,0.39722222,7,7
39656,39656,1220,3808,97589,4,4.017332742833623,04/04/2007 05:16:32,04/04/2007 05:27:26,654,10.9,0.18166666,5,5
39664,39664,1221,3810,97620,23,7.9521819189453415,04/04/2007 05:40:41,04/04/2007 06:10:07,1766,29.433332,0.49055555,5,6
39678,39678,1222,3812,97626,25,4.499338635441767,04/04/2007 07:43:43,04/04/2007 08:09:10,1527,25.45,0.42416668,7,8
39696,39696,1223,3815,97642,4,3.9953486820053796,04/04/2007 06:00:55,04/04/2007 06:17:06,971,16.183332,0.2697222,6,6
39697,39697,1224,3816,97642,9,20.691581021363355,04/04/2007 08:59:50,04/04/2007 09:33:01,1991,33.183334,0.5530556,8,9
39711,39711,1225,3817,97646,11,6.71368162962381,04/04/2007 08:55:19,04/04/2007 10:05:09,4190,69.833336,1.1638889,8,10
39732,39732,1226,3818,97707,3,3.3244224605328867,04/04/2007 06:12:46,04/04/2007 06:29:26,1000,16.666666,0.27777776,6,6
39744,39744,1227,3819,97714,15,11.851951044877993,04/04/2007 05:55:20,04/04/2007 07:41:43,6383,106.38333,1.7730556,5,7
39745,39745,1228,3820,97714,7,5.218820615415377,04/04/2007 08:36:05,04/04/2007 09:43:06,4021,67.01667,1.1169446,8,9
39754,39754,1229,3822,97716,115,37.80987061948977,04/04/2007 08:51:23,04/04/2007 10:34:22,6179,102.98333,1.7163888,8,10
39813,39813,1230,3825,97753,11,10.2969708939709,04/04/2007 06:42:11,04/04/2007 06:58:49,998,16.633333,0.27722222,6,6
39842,39842,1231,3829,97877,37,13.05755800019456,04/04/2007 06:15:57,04/04/2007 07:37:07,4870,81.166664,1.3527777,6,7
39886,39886,1232,3832,97942,7,6.934091152268624,04/04/2007 09:11:41,04/04/2007 09:37:55,1574,26.233334,0.4372222,9,9
40060,40060,1233,3839,98022,5,5.889118766405935,04/04/2007 08:24:13,04/04/2007 08:33:52,579,9.65,0.16083333,8,8
40061,40061,1234,3840,98022,4,6.618090658839545,04/04/2007 09:52:15,04/04/2007 10:07:23,908,15.133333,0.2522222,9,10
40098,40098,1235,3843,98037,4,19.845572107858054,04/04/2007 10:13:19,04/04/2007 10:19:57,398,6.633333,0.11055555,10,10
40132,40132,1236,3848,98112,9,4.980872053057545,04/04/2007 06:47:49,04/04/2007 07:32:40,2691,44.85,0.7475,6,7
40133,40133,1237,3849,98112,6,3.8789968937107866,04/04/2007 09:06:29,04/04/2007 09:20:22,833,13.883333,0.23138888,9,9
40240,40240,1238,3852,98287,14,25.461855245723708,04/04/2007 07:25:42,04/04/2007 07:56:24,1842,30.7,0.51166666,7,7
40286,40286,1239,3853,98297,50,7.889989504947272,04/04/2007 06:07:13,04/04/2007 06:55:12,2879,47.983334,0.79972225,6,6
40287,40287,1240,3854,98297,9,6.675981378637249,04/04/2007 09:54:56,04/04/2007 10:05:48,652,10.866667,0.18111111,9,10
40307,40307,1241,3857,98473,4,4.236101514910366,04/04/2007 08:34:41,04/04/2007 08:48:36,835,13.916667,0.23194446,8,8
40308,40308,1242,3858,98473,4,4.085535129712978,04/04/2007 10:04:10,04/04/2007 10:16:18,728,12.133333,0.20222221,10,10
40329,40329,1243,3859,98560,9,10.112403920356366,04/04/2007 05:26:30,04/04/2007 06:10:47,2657,44.283333,0.7380555,5,6
40330,40330,1244,3860,98560,10,15.863032803943451,04/04/2007 07:18:15,04/04/2007 07:49:45,1890,31.5,0.525,7,7
40395,40395,1245,3868,98643,14,6.044510969248627,04/04/2007 08:31:52,04/04/2007 08:47:01,909,15.15,0.2525,8,8
40461,40461,1246,3870,98705,28,18.63665702259704,04/04/2007 05:47:52,04/04/2007 06:45:49,3477,57.95,0.96583337,5,6
40484,40484,1247,3874,98720,4,4.8044313691877205,04/04/2007 06:01:37,04/04/2007 06:27:34,1557,25.95,0.4325,6,6
40535,40535,1248,3878,98802,23,10.090943043011523,04/04/2007 07:38:21,04/04/2007 08:06:53,1712,28.533333,0.47555554,7,8
40536,40536,1249,3879,98802,27,10.325558801025839,04/04/2007 09:39:55,04/04/2007 09:56:02,967,16.116667,0.2686111,9,9
40590,40590,1250,3886,98911,26,10.560005498674126,04/04/2007 07:37:43,04/04/2007 08:07:48,1805,30.083334,0.5013889,7,8
40591,40591,1251,3887,98911,6,9.782782449296148,04/04/2007 08:56:12,04/04/2007 09:19:56,1424,23.733334,0.39555556,8,9
40634,40634,1252,3891,99049,13,16.827284952365957,04/04/2007 05:38:01,04/04/2007 06:12:32,2071,34.516666,0.57527775,5,6
40663,40663,1253,3894,99084,15,10.131029603343427,04/04/2007 09:37:01,04/04/2007 10:41:30,3869,64.48333,1.0747222,9,10
40689,40689,1254,3896,99095,4,4.826826067992458,04/04/2007 05:38:50,04/04/2007 05:51:39,769,12.816667,0.21361111,5,5
40735,40735,1255,3900,99220,5,5.1039194128941245,04/04/2007 05:54:49,04/04/2007 06:19:05,1456,24.266666,0.40444443,5,6
40831,40831,1256,3908,99430,37,7.613329526516498,04/04/2007 07:30:05,04/04/2007 07:57:55,1670,27.833334,0.4638889,7,7
