id,Name,trN,trN,Entity ID,Number of positions,Track length,Start time,End time,Duration (second),Duration (minutes),Duration (hours),Hour (start),Hour (end)
1287,1287,49,138,5902,4,4.23653469926302,04/04/2007 06:48:27,04/04/2007 07:04:37,970,16.166666,0.26944444,6,7
1288,1288,50,139,5902,5,5.08255103416501,04/04/2007 10:17:41,04/04/2007 10:35:21,1060,17.666666,0.29444444,10,10
1361,1361,51,144,7308,6,5.057928896381414,04/04/2007 06:52:44,04/04/2007 07:25:06,1942,32.366665,0.5394444,6,7
1362,1362,52,145,7308,9,11.898758223981623,04/04/2007 07:56:57,04/04/2007 08:54:29,3452,57.533333,0.9588889,7,8
1458,1458,53,151,7444,10,18.30665874896214,04/04/2007 10:02:39,04/04/2007 10:22:54,1215,20.25,0.3375,10,10
1517,1517,54,157,7490,6,7.144906324635232,04/04/2007 06:40:39,04/04/2007 07:03:34,1375,22.916666,0.38194445,6,7
1518,1518,55,158,7490,5,6.734319027397973,04/04/2007 07:49:48,04/04/2007 08:05:29,941,15.683333,0.2613889,7,8
1519,1519,56,159,7490,16,28.688978505908896,04/04/2007 09:36:29,04/04/2007 10:05:09,1720,28.666666,0.47777778,9,10
1543,1543,57,163,7491,18,14.84500814126741,04/04/2007 09:05:11,04/04/2007 10:09:37,3866,64.433334,1.0738889,9,10
1652,1652,58,167,7497,9,4.607458137939838,04/04/2007 05:13:46,04/04/2007 05:53:23,2377,39.616665,0.6602777,5,5
1662,1662,59,168,7507,6,8.99867544682435,04/04/2007 05:01:38,04/04/2007 05:11:54,616,10.266666,0.1711111,5,5
1663,1663,60,169,7507,4,5.495966773449527,04/04/2007 10:19:43,04/04/2007 10:25:31,348,5.8,0.09666667,10,10
1716,1716,61,173,7513,14,16.79751122277593,04/04/2007 09:47:56,04/04/2007 10:47:10,3554,59.233334,0.98722225,9,10
1729,1729,62,174,7524,6,8.661953925003079,04/04/2007 05:46:39,04/04/2007 06:17:34,1855,30.916666,0.51527774,5,6
1730,1730,63,175,7524,8,11.198176645452797,04/04/2007 06:50:01,04/04/2007 07:38:49,2928,48.8,0.81333333,6,7
1731,1731,64,176,7524,13,21.191373663932755,04/04/2007 08:12:46,04/04/2007 09:02:24,2978,49.633335,0.8272222,8,9
1747,1747,65,178,7527,14,21.555809832584732,04/04/2007 05:47:59,04/04/2007 06:42:12,3253,54.216667,0.9036111,5,6
1782,1782,66,181,7578,7,6.7148208121303465,04/04/2007 06:02:20,04/04/2007 06:44:03,2503,41.716667,0.6952778,6,6
1881,1881,67,186,7595,12,21.6578881965664,04/04/2007 07:25:03,04/04/2007 07:49:16,1453,24.216667,0.40361112,7,7
1964,1964,68,195,7756,7,10.829886526586865,04/04/2007 09:34:27,04/04/2007 09:51:30,1023,17.05,0.28416666,9,9
1975,1975,69,199,7762,10,17.784161341924023,04/04/2007 07:05:24,04/04/2007 07:50:39,2715,45.25,0.75416666,7,7
1976,1976,70,200,7762,9,16.12953769752887,04/04/2007 09:22:52,04/04/2007 10:12:45,2993,49.883335,0.8313889,9,10
1991,1991,71,203,7763,32,44.08577610113848,04/04/2007 07:53:57,04/04/2007 09:28:49,5692,94.86667,1.5811112,7,9
2023,2023,72,207,7795,13,13.268120573387776,04/04/2007 08:57:51,04/04/2007 09:45:32,2861,47.683334,0.79472226,8,9
2040,2040,73,209,7803,13,11.598294182146805,04/04/2007 05:05:55,04/04/2007 05:53:39,2864,47.733334,0.79555553,5,5
2041,2041,74,210,7803,7,15.461783706843152,04/04/2007 06:46:18,04/04/2007 07:17:37,1879,31.316668,0.52194446,6,7
2065,2065,75,212,7804,5,7.043309041319881,04/04/2007 06:55:40,04/04/2007 07:03:27,467,7.7833333,0.12972222,6,7
2066,2066,76,213,7804,6,9.648463706263978,04/04/2007 10:17:04,04/04/2007 10:28:41,697,11.616667,0.19361112,10,10
2085,2085,77,216,7809,7,10.578435185613673,04/04/2007 10:44:43,04/04/2007 10:56:56,733,12.216666,0.2036111,10,10
2214,2214,78,222,7944,10,10.183507485737127,04/04/2007 09:33:48,04/04/2007 10:03:14,1766,29.433332,0.49055555,9,10
2313,2313,79,230,8292,3,3.3243015816678154,04/04/2007 10:14:33,04/04/2007 10:24:58,625,10.416667,0.17361112,10,10
2348,2348,80,233,8358,4,3.1168086735492855,04/04/2007 07:21:08,04/04/2007 07:39:03,1075,17.916666,0.2986111,7,7
2350,2350,81,234,8358,6,3.760890246278625,04/04/2007 10:29:32,04/04/2007 10:52:17,1365,22.75,0.37916666,10,10
2389,2389,82,235,8452,7,10.45534794112844,04/04/2007 06:36:33,04/04/2007 07:07:19,1846,30.766666,0.51277775,6,7
2441,2441,83,241,9109,22,38.93495192622787,04/04/2007 09:17:05,04/04/2007 10:01:43,2678,44.633335,0.7438889,9,10
2464,2464,84,244,9210,13,20.08796254090627,04/04/2007 06:23:44,04/04/2007 07:15:54,3130,52.166668,0.8694445,6,7
2477,2477,85,247,9481,8,14.0151874402072,04/04/2007 07:21:38,04/04/2007 07:55:13,2015,33.583332,0.5597222,7,7
2491,2491,86,248,9487,4,4.226920171310506,04/04/2007 07:17:58,04/04/2007 07:34:48,1010,16.833334,0.28055558,7,7
2770,2770,87,268,12118,12,15.818764382922161,04/04/2007 06:14:15,04/04/2007 07:41:19,5224,87.066666,1.4511111,6,7
2771,2771,88,269,12118,8,11.526394685546714,04/04/2007 08:41:22,04/04/2007 09:05:05,1423,23.716667,0.3952778,8,9
2803,2803,89,272,12140,5,9.713939788484721,04/04/2007 07:16:14,04/04/2007 07:39:52,1418,23.633333,0.3938889,7,7
2826,2826,90,278,12164,13,16.414121328270923,04/04/2007 07:54:06,04/04/2007 08:44:48,3042,50.7,0.845,7,8
2839,2839,91,280,12343,6,7.002281185900243,04/04/2007 05:59:36,04/04/2007 06:30:16,1840,30.666666,0.5111111,5,6
2880,2880,92,284,12391,11,12.506274246658958,04/04/2007 09:18:13,04/04/2007 10:24:50,3997,66.61667,1.1102778,9,10
2906,2906,93,287,12398,15,19.44775609330282,04/04/2007 06:29:40,04/04/2007 08:14:04,6264,104.4,1.74,6,8
2921,2921,94,290,12401,10,10.797690347275099,04/04/2007 08:22:47,04/04/2007 09:09:40,2813,46.883335,0.78138894,8,9
3070,3070,95,294,12495,6,3.3421127402343815,04/04/2007 05:13:05,04/04/2007 05:41:42,1717,28.616667,0.47694445,5,5
3071,3071,96,295,12495,16,16.359911493552826,04/04/2007 06:21:35,04/04/2007 08:11:44,6609,110.15,1.8358333,6,8
3097,3097,97,297,12498,10,6.388974668068872,04/04/2007 05:32:26,04/04/2007 06:10:32,2286,38.1,0.635,5,6
3114,3114,98,298,12499,9,13.88510589935535,04/04/2007 06:54:38,04/04/2007 07:40:23,2745,45.75,0.7625,6,7
3185,3185,99,303,12941,10,12.044713325022755,04/04/2007 05:20:47,04/04/2007 06:03:10,2543,42.383335,0.7063889,5,6
3215,3215,100,307,12992,17,29.463378421481973,04/04/2007 08:06:19,04/04/2007 09:03:07,3408,56.8,0.94666666,8,9
3233,3233,101,311,13132,7,9.889402508373763,04/04/2007 08:42:26,04/04/2007 09:18:06,2140,35.666668,0.59444445,8,9
3256,3256,102,313,13194,15,20.407764243139056,04/04/2007 06:34:19,04/04/2007 08:05:17,5458,90.96667,1.5161111,6,8
3257,3257,103,314,13194,12,15.281352721369027,04/04/2007 08:55:58,04/04/2007 09:40:13,2655,44.25,0.7375,8,9
