id,Name,Cluster 
493,493,class 1
494,494,class 1
495,495,
496,496,class 1
497,497,
498,498,class 1
499,499,class 1
500,500,
501,501,
502,502,
503,503,
504,504,
505,505,
506,506,
507,507,
508,508,class 1
509,509,
510,510,class 1
511,511,class 1
512,512,class 1
513,513,class 1
514,514,class 1
515,515,class 1
516,516,
517,517,class 1
518,518,class 1
519,519,
520,520,class 1
521,521,class 1
522,522,class 3
523,523,class 3
524,524,class 1
525,525,
526,526,class 1
527,527,
528,528,
529,529,
530,530,
531,531,
532,532,class 1
533,533,
534,534,
535,535,
536,536,class 1
537,537,class 1
538,538,
539,539,
540,540,
541,541,
542,542,
543,543,class 1
544,544,class 1
545,545,class 1
546,546,class 1
547,547,class 1
548,548,
549,549,
550,550,class 1
551,551,
552,552,
553,553,class 1
554,554,class 1
555,555,
556,556,class 2
557,557,class 3
558,558,class 3
559,559,class 1
560,560,class 1
561,561,
562,562,class 3
563,563,
564,564,class 1
565,565,class 1
566,566,class 1
567,567,
568,568,
569,569,class 5
570,570,class 1
571,571,class 1
572,572,
573,573,
574,574,
575,575,class 1
576,576,
577,577,
578,578,
579,579,
580,580,class 1
581,581,class 1
582,582,
583,583,class 1
584,584,
585,585,
586,586,class 1
587,587,
588,588,
589,589,
590,590,
591,591,
592,592,
593,593,
594,594,
595,595,
596,596,
597,597,
598,598,
599,599,
600,600,
601,601,class 1
602,602,class 1
603,603,class 1
604,604,class 1
605,605,class 1
606,606,
607,607,
608,608,class 1
609,609,class 1
610,610,class 2
611,611,
612,612,
613,613,
614,614,class 1
615,615,
616,616,
617,617,class 1
618,618,class 1
619,619,
620,620,class 1
621,621,
622,622,
623,623,
624,624,
625,625,class 1
626,626,
627,627,
628,628,
629,629,
630,630,
631,631,
632,632,class 1
633,633,
634,634,
635,635,
636,636,class 1
637,637,class 1
638,638,
639,639,
640,640,
641,641,
642,642,
643,643,class 1
644,644,
645,645,
646,646,
647,647,
648,648,
649,649,
650,650,
651,651,
652,652,class 1
653,653,class 1
654,654,class 1
655,655,class 1
656,656,class 1
657,657,
658,658,class 1
659,659,class 1
660,660,
661,661,class 1
662,662,class 1
663,663,
664,664,
665,665,class 1
666,666,class 1
667,667,class 1
668,668,class 1
669,669,
670,670,class 1
671,671,class 1
672,672,class 1
673,673,class 1
674,674,class 1
675,675,class 1
676,676,class 1
677,677,
678,678,
679,679,
680,680,
681,681,class 1
682,682,class 1
683,683,class 1
684,684,
685,685,class 1
686,686,
687,687,class 1
688,688,class 4
689,689,class 4
690,690,
691,691,class 3
692,692,class 3
693,693,
694,694,
695,695,
696,696,
697,697,class 3
698,698,
699,699,
700,700,
701,701,class 1
702,702,class 1
703,703,class 4
704,704,class 1
705,705,class 1
706,706,class 1
707,707,
708,708,
709,709,
710,710,class 1
711,711,class 1
712,712,class 1
713,713,
714,714,
715,715,
716,716,class 1
717,717,class 1
718,718,class 1
719,719,class 1
720,720,class 1
721,721,
722,722,class 1
723,723,class 1
724,724,class 4
725,725,class 1
726,726,class 1
727,727,
728,728,class 1
729,729,class 1
730,730,
731,731,
732,732,class 1
733,733,class 1
734,734,
735,735,class 1
736,736,
737,737,
738,738,
739,739,
740,740,
741,741,
742,742,class 1
743,743,
744,744,
745,745,
746,746,
747,747,class 1
748,748,class 1
749,749,class 1
750,750,class 1
751,751,
752,752,
753,753,class 1
754,754,
755,755,class 2
756,756,class 2
757,757,class 1
758,758,class 1
759,759,
760,760,class 1
761,761,
762,762,class 1
763,763,class 1
764,764,
765,765,
766,766,class 1
767,767,
768,768,
769,769,
770,770,
771,771,
772,772,
773,773,
774,774,class 1
775,775,class 1
776,776,
777,777,
778,778,
779,779,class 6
780,780,class 1
781,781,class 1
782,782,class 1
783,783,class 1
784,784,class 1
785,785,
786,786,
787,787,
788,788,class 1
789,789,
790,790,class 1
791,791,
792,792,
793,793,class 1
794,794,class 1
795,795,
796,796,
797,797,
798,798,
799,799,
800,800,
801,801,class 1
802,802,class 1
803,803,class 1
804,804,
805,805,
806,806,
807,807,
808,808,class 1
809,809,class 1
810,810,class 1
811,811,
812,812,class 1
813,813,
814,814,class 1
815,815,class 1
816,816,class 1
817,817,class 1
818,818,class 1
819,819,
820,820,class 1
821,821,
822,822,class 1
823,823,class 1
824,824,
825,825,class 5
826,826,class 1
827,827,class 1
828,828,class 1
829,829,
830,830,
831,831,
832,832,class 1
833,833,class 1
834,834,class 1
835,835,
836,836,
837,837,
838,838,
839,839,
840,840,
841,841,class 5
842,842,class 3
843,843,class 1
844,844,
845,845,class 1
846,846,class 1
847,847,class 1
848,848,
849,849,
850,850,class 1
851,851,class 1
852,852,class 1
853,853,class 1
854,854,
855,855,
856,856,class 1
857,857,class 1
858,858,class 1
859,859,class 1
860,860,class 1
861,861,class 1
862,862,
863,863,class 1
864,864,class 1
865,865,class 1
866,866,
867,867,
868,868,class 1
869,869,
870,870,class 1
871,871,class 1
872,872,class 1
873,873,
874,874,class 1
875,875,class 1
876,876,
877,877,class 1
878,878,class 1
879,879,class 1
880,880,
881,881,
882,882,
883,883,class 6
884,884,class 1
885,885,
886,886,class 1
887,887,class 1
888,888,
889,889,
890,890,
891,891,
892,892,class 1
893,893,class 1
894,894,class 1
895,895,class 1
896,896,class 1
897,897,class 1
898,898,class 1
899,899,class 1
900,900,class 1
901,901,
902,902,
903,903,class 1
904,904,class 1
905,905,class 1
906,906,
907,907,class 1
908,908,class 1
909,909,class 4
910,910,
911,911,
912,912,class 1
913,913,class 1
914,914,class 1
915,915,class 1
916,916,class 1
917,917,
918,918,
919,919,
920,920,class 1
921,921,
922,922,
923,923,
924,924,
925,925,class 1
926,926,
927,927,
928,928,class 1
929,929,class 1
930,930,class 1
931,931,
932,932,
933,933,
934,934,class 1
935,935,
936,936,class 1
937,937,class 1
938,938,class 1
939,939,class 1
940,940,
941,941,
942,942,
943,943,class 1
944,944,class 1
945,945,class 1
946,946,class 1
947,947,class 1
948,948,class 1
949,949,class 1
950,950,
951,951,
952,952,
953,953,
954,954,
955,955,class 1
956,956,
957,957,
958,958,
959,959,
960,960,class 1
961,961,
962,962,
963,963,
964,964,
965,965,
966,966,
967,967,
968,968,
969,969,
970,970,
971,971,class 3
972,972,class 1
973,973,
974,974,
975,975,
976,976,
977,977,
978,978,
979,979,class 1
980,980,class 6
981,981,class 1
982,982,class 2
983,983,class 4
984,984,class 1
985,985,class 1
986,986,class 5
987,987,class 5
988,988,class 1
989,989,class 1
990,990,
991,991,
992,992,
993,993,class 1
994,994,class 1
995,995,
996,996,class 1
997,997,class 1
998,998,class 1
999,999,class 1
1000,1000,
1001,1001,
1002,1002,
1003,1003,
1004,1004,
1005,1005,
1006,1006,class 1
1007,1007,
1008,1008,class 1
1009,1009,class 1
1010,1010,
1011,1011,class 1
1012,1012,class 1
1013,1013,
1014,1014,
1015,1015,class 1
1016,1016,
1017,1017,
1018,1018,
1019,1019,
1020,1020,
1021,1021,
1022,1022,
1023,1023,
1024,1024,
1025,1025,
1026,1026,
1027,1027,
1028,1028,class 1
1029,1029,class 2
1030,1030,class 2
1031,1031,
1032,1032,
1033,1033,
1034,1034,
1035,1035,
1036,1036,
1037,1037,
1038,1038,
1039,1039,
1040,1040,class 1
1041,1041,class 1
1042,1042,
1043,1043,
1044,1044,
1045,1045,
1046,1046,
1047,1047,class 1
1048,1048,
1049,1049,class 3
1050,1050,class 1
1051,1051,class 1
1052,1052,class 2
1053,1053,
1054,1054,class 1
1055,1055,class 1
1056,1056,
1057,1057,
1058,1058,
1059,1059,class 1
1060,1060,class 1
1061,1061,class 1
1062,1062,class 1
1063,1063,
1064,1064,
1065,1065,
1066,1066,class 1
1067,1067,class 1
1068,1068,class 1
1069,1069,
1070,1070,
1071,1071,class 3
1072,1072,
1073,1073,class 3
1074,1074,
1075,1075,
1076,1076,
1077,1077,
1078,1078,
1079,1079,
1080,1080,class 1
1081,1081,class 6
1082,1082,class 1
1083,1083,
1084,1084,class 1
1085,1085,class 4
1086,1086,class 1
1087,1087,
1088,1088,
1089,1089,
1090,1090,class 1
1091,1091,
1092,1092,class 3
1093,1093,class 3
1094,1094,class 3
1095,1095,
1096,1096,class 3
1097,1097,class 3
1098,1098,
1099,1099,class 1
1100,1100,
1101,1101,
1102,1102,
1103,1103,
1104,1104,class 1
1105,1105,class 1
1106,1106,
1107,1107,class 1
1108,1108,class 1
1109,1109,class 1
1110,1110,class 5
1111,1111,class 5
1112,1112,
1113,1113,class 1
1114,1114,class 1
1115,1115,class 1
1116,1116,class 1
1117,1117,class 1
1118,1118,class 1
1119,1119,
1120,1120,class 4
1121,1121,
1122,1122,
1123,1123,class 1
1124,1124,
1125,1125,
1126,1126,
1127,1127,
1128,1128,
1129,1129,class 1
1130,1130,
1131,1131,
1132,1132,
1133,1133,
1134,1134,class 1
1135,1135,class 5
1136,1136,class 1
1137,1137,class 1
1138,1138,class 1
1139,1139,
1140,1140,class 3
1141,1141,
1142,1142,
1143,1143,
1144,1144,class 5
1145,1145,
1146,1146,
1147,1147,
1148,1148,
1149,1149,
1150,1150,
1151,1151,
1152,1152,
1153,1153,
1154,1154,
1155,1155,
1156,1156,class 1
1157,1157,class 1
1158,1158,
1159,1159,
1160,1160,class 1
1161,1161,
1162,1162,
1163,1163,class 1
1164,1164,
1165,1165,class 1
1166,1166,class 3
1167,1167,
1168,1168,
1169,1169,class 1
1170,1170,class 1
1171,1171,class 1
1172,1172,class 1
1173,1173,
1174,1174,class 1
1175,1175,class 1
1176,1176,class 1
1177,1177,class 2
1178,1178,class 1
1179,1179,class 1
1180,1180,class 1
1181,1181,
1182,1182,
1183,1183,
1184,1184,class 1
1185,1185,
1186,1186,class 5
1187,1187,class 1
1188,1188,class 1
1189,1189,class 3
1190,1190,class 3
1191,1191,class 1
1192,1192,class 3
1193,1193,class 1
1194,1194,class 1
1195,1195,
1196,1196,
1197,1197,
1198,1198,
1199,1199,
1200,1200,class 1
1201,1201,
1202,1202,class 1
1203,1203,class 1
1204,1204,class 1
1205,1205,class 1
1206,1206,class 1
1207,1207,
1208,1208,
1209,1209,class 1
1210,1210,class 1
1211,1211,class 1
1212,1212,class 1
1213,1213,
1214,1214,class 1
1215,1215,
1216,1216,class 1
1217,1217,
1218,1218,
1219,1219,class 1
1220,1220,class 1
1221,1221,class 1
1222,1222,
1223,1223,
1224,1224,
1225,1225,class 1
1226,1226,
1227,1227,class 1
1228,1228,class 1
1229,1229,
1230,1230,class 6
1231,1231,class 1
1232,1232,class 1
1233,1233,class 1
1234,1234,
1235,1235,
1236,1236,class 5
1237,1237,
1238,1238,
1239,1239,class 1
